Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2645.9195,0.3456,0.1900,0.1556,69.9212,25.2012,NA,0.0000,24.9665,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2646.2651,50.4620,50.1855,0.2765,94.7768,25.1624,-0.1516,2611.0712,0.0007,59.0709
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2696.7271,0.3429,0.1939,0.1490,69.4772,23.8399,NA,0.0000,24.8588,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2697.0700,49.7912,49.4134,0.3778,92.9742,25.0695,1.2000,2661.2735,0.0229,57.8709
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2746.8612,0.4191,0.2048,0.2143,68.2525,25.9066,NA,0.0000,24.7804,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2747.2803,49.0596,48.7852,0.2744,93.7400,24.3064,-1.0115,2711.2381,0.6736,58.8824
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2796.3399,0.3534,0.1972,0.1562,68.9868,25.6489,NA,0.0000,24.0478,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2796.6933,50.3707,49.9900,0.3807,94.2823,25.1338,0.3284,2761.5218,0.0005,58.5540
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2847.0640,0.4622,0.2975,0.1647,69.0454,25.4143,NA,0.0000,24.8039,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2847.5262,50.3800,49.9512,0.4288,93.9975,25.1587,-0.2111,2811.8588,0.0010,58.7651
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2897.9062,0.4912,0.2660,0.2252,68.7762,25.0408,NA,0.0000,24.8300,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2898.3974,49.4683,49.0822,0.3861,93.3258,25.0564,-0.0676,2861.9907,0.0007,58.8327
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2947.8657,0.4162,0.2044,0.2118,68.9139,26.9968,NA,0.0000,24.7594,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2948.2819,50.7628,50.3802,0.3826,95.4945,25.0506,-1.8597,2912.1842,0.0393,60.6924
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2999.0447,0.4915,0.3257,0.1658,69.7823,24.9300,NA,0.0000,24.8177,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2999.5362,48.3282,47.9818,0.3464,94.2208,25.0820,0.2094,2962.3742,0.0009,60.4830
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3047.8644,0.4018,0.2369,0.1649,70.9746,23.7837,NA,0.0000,24.7954,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3048.2662,49.7739,49.5145,0.2594,94.3565,25.0234,1.3060,3012.5459,0.0640,59.1770
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3098.0401,0.4405,0.2313,0.2092,69.6060,24.8590,NA,0.0000,24.7847,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3098.4806,50.0890,49.8299,0.2591,94.0245,24.5017,0.5135,3062.9418,0.6901,58.6635
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3148.5696,0.5105,0.2672,0.2433,68.4372,26.7032,NA,0.0000,24.2778,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3149.0801,50.9909,50.6052,0.3857,94.6299,24.8755,-0.5211,3113.6256,0.4634,59.1846
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,3200.0710,0.4657,0.2421,0.2236,68.5145,24.8959,NA,0.0000,24.6148,NA
