Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4421.1896,47.2460,46.8744,0.3716,90.3496,46.1911,-0.5627,4394.3493,NA,57.0818
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4468.4356,46.8369,46.5424,0.2945,89.2947,48.0596,0.8319,4441.3723,NA,56.2499
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4515.2725,47.6127,47.3306,0.2821,90.5174,47.6403,-0.7029,4488.7290,NA,56.9528
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4562.8852,46.9122,46.6165,0.2957,90.5450,46.1570,-0.4372,4535.9321,NA,57.3900
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4609.7974,47.3550,47.0731,0.2819,89.7898,46.6736,0.9754,4583.0645,NA,56.4146
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4657.1524,47.2734,46.9350,0.3384,89.1084,46.7123,0.2698,4630.0079,NA,56.1448
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4704.4258,46.5057,46.1775,0.3282,88.5473,47.7271,0.2595,4676.9797,NA,55.8853
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4750.9315,47.4440,47.1280,0.3160,89.7687,48.5771,-0.5274,4724.1794,NA,56.4127
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4798.3755,47.8407,47.5687,0.2720,90.9018,47.4998,-1.1093,4771.6472,NA,57.5220
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4846.2162,46.8883,46.5721,0.3162,90.5609,46.1727,-0.1624,4818.9846,NA,57.6844
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4893.1045,47.1254,46.8628,0.2626,89.8453,46.8818,1.0014,4866.1587,NA,56.6830
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4940.2299,46.6776,46.3882,0.2894,89.6017,47.8694,0.0161,4913.0566,NA,56.6669
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4986.9075,47.9942,47.7055,0.2887,90.7935,45.6275,-0.9675,4959.9585,NA,57.6344
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5034.9017,46.2502,45.9587,0.2915,88.4268,47.3991,1.2947,5006.8807,NA,56.3397
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5081.1519,46.9795,46.6334,0.3461,89.5757,47.8904,-0.1952,5054.0846,NA,56.5349
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5128.1314,47.5425,47.2570,0.2855,90.4866,46.6811,-0.5260,5101.4490,NA,57.0609
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5175.6739,47.4273,47.0337,0.3936,89.6252,48.1108,0.9118,5149.0419,NA,56.1491
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5223.1012,47.8322,47.5363,0.2959,90.3087,48.1832,-0.7197,5196.4330,NA,56.8688
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5270.9334,47.3753,47.0544,0.3209,90.6597,46.9188,-0.9898,5243.6264,NA,57.8586
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5318.3087,47.1123,46.8231,0.2892,90.2032,45.6097,0.2233,5290.7685,NA,57.6353
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5365.4210,46.5008,46.2548,0.2460,88.7006,48.1080,1.3822,5337.7604,NA,56.2531
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5411.9218,47.5806,47.3292,0.2514,90.3078,45.6844,-1.1685,5384.6999,NA,57.4216
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5459.5024,45.9607,45.7188,0.2419,88.4116,48.4682,1.2977,5431.6820,NA,56.1239
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5505.4631,48.9009,48.6213,0.2796,90.9191,47.1106,-1.0505,5479.0997,NA,57.1744
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5554.3640,45.9836,45.7400,0.2436,89.1288,46.9960,0.3856,5526.5959,NA,56.7888
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5600.3476,47.7819,47.5048,0.2771,90.1412,49.0540,0.3413,5573.9332,NA,56.4475
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5648.1295,47.3306,47.0825,0.2481,91.4133,45.9902,-1.6804,5621.3068,NA,58.1279
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5695.4601,47.4586,47.1990,0.2596,90.0729,46.3271,1.0734,5668.3704,NA,57.0545
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5742.9187,46.7816,46.5234,0.2582,88.9414,46.4987,0.6723,5715.3698,NA,56.3822
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5789.7003,46.7162,46.4510,0.2652,88.6585,47.4087,0.1954,5762.0639,NA,56.1868
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5836.4165,46.9736,46.6852,0.2884,89.3510,48.9083,-0.3624,5809.1102,NA,56.5492
